City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
32,Busselton,AU,2022-05-10 04:30:40,-33.65,115.3333,69.96,56,2,7.87
33,Vaini,TO,2022-05-10 04:30:40,-21.2,-175.2,78.96,61,20,4.61
34,Aklavik,CA,2022-05-10 04:30:41,68.2191,-135.0107,37.56,79,100,2.95
35,Bambous Virieux,MU,2022-05-10 04:30:41,-20.3428,57.7575,75.45,94,75,8.05
36,Tuatapere,NZ,2022-05-10 04:30:42,-46.1333,167.6833,48.99,71,38,2.84
37,Hermagor,AT,2022-05-10 04:30:42,46.6272,13.3672,53.56,92,11,2.77
38,Phalaborwa,ZA,2022-05-10 04:30:43,-23.943,31.1411,60.67,86,0,0.31
39,Provideniya,RU,2022-05-10 04:30:43,64.3833,-173.3,35.83,61,4,6.8
40,Acapulco,MX,2022-05-10 04:30:44,16.8634,-99.8901,80.42,78,20,4.61
41,Cordoba,AR,2022-05-10 04:26:30,-31.4135,-64.1811,61.75,88,0,4.61
42,Kirakira,SB,2022-05-10 04:27:30,-10.4544,161.9205,84.02,78,61,10.63
43,Sal Rei,CV,2022-05-10 04:30:45,16.1833,-22.9167,69.87,85,52,13.58
44,Bud,US,2022-05-10 04:30:46,39.447,-86.1758,69.75,76,4,7.94
45,Thompson,CA,2022-05-10 04:30:46,55.7435,-97.8558,51.96,76,75,2.3
46,Lalitpur,NP,2022-05-10 04:30:47,27.6667,85.3333,77.38,61,40,2.3
47,Tulum,MX,2022-05-10 04:30:47,20.2167,-87.4667,79.32,83,4,8.66
48,Kodiak,US,2022-05-10 04:31:48,57.79,-152.4072,47.71,46,0,20.71
49,Porto Novo,BJ,2022-05-10 04:31:49,6.4965,2.6036,80.42,92,100,3.67
50,Mataram,ID,2022-05-10 04:31:49,-8.5833,116.1167,90.41,79,72,1.41
51,Clyde River,CA,2022-05-10 04:31:50,70.4692,-68.5914,19.63,86,100,13.8
52,Cidreira,BR,2022-05-10 04:31:51,-30.1811,-50.2056,65.46,90,32,11.74
53,Dabakala,CI,2022-05-10 04:31:51,8.3667,-4.4333,74.5,90,66,2.59
54,Jamestown,US,2022-05-10 04:30:59,42.097,-79.2353,60.44,26,0,5.75
55,Corinto,GR,2022-05-10 04:31:52,37.9407,22.9573,58.89,50,4,3.47
56,Jinchang,CN,2022-05-10 04:31:53,38.4953,102.1739,66.2,26,100,7.56
57,Hobart,AU,2022-05-10 04:29:36,-42.8794,147.3294,63.23,56,20,8.05
58,Elizabeth City,US,2022-05-10 04:31:53,36.2946,-76.2511,57.22,67,100,23.02
59,Hilo,US,2022-05-10 04:31:26,19.7297,-155.09,75.27,82,100,6.91
60,Sao Filipe,CV,2022-05-10 04:31:56,14.8961,-24.4956,71.74,82,16,9.42
61,Laguna,US,2022-05-10 04:31:57,38.421,-121.4238,54.05,58,0,12.66
62,Saskylakh,RU,2022-05-10 04:31:58,71.9167,114.0833,34.18,100,100,13.69
63,Georgetown,MY,2022-05-10 04:30:13,5.4112,100.3354,91.33,70,20,9.22
64,Lahaina,US,2022-05-10 04:31:59,20.8783,-156.6825,78.8,91,65,11.95
65,Los Llanos De Aridane,ES,2022-05-10 04:32:00,28.6585,-17.9182,62.13,95,0,5.75
66,Dawlatabad,AF,2022-05-10 04:32:00,36.4141,64.9053,68.63,56,100,6.08
67,Upernavik,GL,2022-05-10 04:32:01,72.7868,-56.1549,24.8,97,100,3.69
68,Kaitangata,NZ,2022-05-10 04:32:02,-46.2817,169.8464,49.41,68,90,2.19
69,Barrow,US,2022-05-10 04:32:02,71.2906,-156.7887,30.22,86,100,12.66
70,Quang Ngai,VN,2022-05-10 04:32:03,15.1167,108.8,88.81,64,54,8.3
71,Ubinskoye,RU,2022-05-10 04:32:03,55.3068,79.6802,59.47,33,1,8.9
72,Torbay,CA,2022-05-10 04:32:04,47.6666,-52.7314,31.75,68,40,8.05
73,Arauco,CL,2022-05-10 04:32:04,-37.2463,-73.3175,53.58,90,100,3.83
74,Fond Du Lac,US,2022-05-10 04:32:05,43.775,-88.4388,73.04,60,0,10.36
75,Mega,ET,2022-05-10 04:32:05,4.05,38.3,61.66,88,49,11.74
76,Qaanaaq,GL,2022-05-10 04:32:06,77.484,-69.3632,12.88,57,0,7.11
77,Atuona,PF,2022-05-10 04:32:06,-9.8,-139.0333,78.94,76,19,20.47
78,Bekhteyevka,RU,2022-05-10 04:32:07,50.8072,37.2085,43.7,59,11,12.64
79,Ilulissat,GL,2022-05-10 04:32:07,69.2167,-51.1,21.22,86,100,19.57
80,Kotel,BG,2022-05-10 04:32:08,42.8833,26.45,57.2,60,11,1.77
81,Chokurdakh,RU,2022-05-10 04:32:08,70.6333,147.9167,23.27,93,100,18.39
82,Kunming,CN,2022-05-10 04:32:09,25.0389,102.7183,69.73,49,40,11.18
83,Mar Del Plata,AR,2022-05-10 04:29:11,-38.0023,-57.5575,54.95,84,75,3.44
