City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Ponta Do Sol,PT,32.6667,-17.1,66.13,49,0,3.74,clear sky
144,Bereznik,RU,62.8551,42.7072,41.32,62,0,2.91,clear sky
145,Kapaa,US,22.0752,-159.319,82.38,75,75,14.97,broken clouds
146,Vila Velha,BR,-20.3297,-40.2925,69.75,94,40,1.14,scattered clouds
147,Suba,PH,10.8438,121.0102,84.07,72,13,7.4,few clouds
148,Merke,KZ,42.8728,73.1786,61.02,83,77,3.78,light rain
149,Brae,GB,60.3964,-1.353,47.52,84,100,22.17,overcast clouds
150,Auki,SB,-8.7676,160.7034,85.39,70,100,4.68,overcast clouds
151,Mae Hong Son,TH,19.3003,97.9685,82.54,78,75,2.3,broken clouds
152,Zigong,CN,29.3416,104.7769,67.96,94,100,9.01,overcast clouds
153,Mount Gambier,AU,-37.8333,140.7667,65.26,55,43,3.76,scattered clouds
154,Hambantota,LK,6.1241,81.1185,84.79,71,87,21.79,overcast clouds
155,Tuktoyaktuk,CA,69.4541,-133.0374,31.39,88,100,9.98,overcast clouds
156,Tiksi,RU,71.6872,128.8694,24.57,77,24,5.44,few clouds
157,Katsuura,JP,35.1333,140.3,66.72,70,94,6.13,overcast clouds
158,Tulu Bolo,ET,8.6667,38.2167,59.43,65,4,3.53,clear sky
159,Filadelfia,US,39.9523,-75.1638,60.87,42,40,6.91,scattered clouds
160,Fort Nelson,CA,58.8053,-122.7002,47.79,46,75,9.22,broken clouds
161,Paka,MY,4.6374,103.4368,85.93,79,40,6.91,scattered clouds
162,Saint Anthony,US,45.0205,-93.218,73.02,40,0,10.36,clear sky
163,Victoria,HK,22.2855,114.1577,78.85,96,100,11.01,moderate rain
164,Lavrentiya,RU,65.5833,-171.0,33.8,95,65,7.4,broken clouds
165,Ahipara,NZ,-35.1667,173.1667,62.71,44,0,12.26,clear sky
166,Souillac,MU,-20.5167,57.5167,71.98,94,20,5.75,few clouds
167,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
168,Smidovich,RU,48.6,133.8167,66.81,24,93,19.24,overcast clouds
169,Bambous Virieux,MU,-20.3428,57.7575,77.22,77,94,10.94,overcast clouds
170,Ketchikan,US,55.3422,-131.6461,40.98,93,100,10.36,moderate rain
171,Nanortalik,GL,60.1432,-45.2371,34.61,92,95,7.45,overcast clouds
172,Vardo,NO,70.3705,31.1107,37.38,100,100,11.5,overcast clouds
173,Geraldton,AU,-28.7667,114.6,72.01,64,75,6.91,broken clouds
174,Hofn,IS,64.2539,-15.2082,38.84,60,100,21.72,overcast clouds
175,Gat,IL,31.61,34.7642,68.4,52,64,3.65,broken clouds
176,Mahebourg,MU,-20.4081,57.7,77.25,94,20,5.75,few clouds
177,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,20,10.36,few clouds
178,Rochegda,RU,62.8,43.25,40.84,63,4,2.04,clear sky
179,Aksarka,RU,66.5606,67.7975,29.26,93,100,9.42,overcast clouds
180,Hasaki,JP,35.7333,140.8333,75.29,71,100,5.99,overcast clouds
181,Leningradskiy,RU,69.3833,178.4167,34.93,96,9,2.64,clear sky
182,Klaksvik,FO,62.2266,-6.589,43.72,89,9,7.9,clear sky
183,Komsomolskiy,UZ,40.4272,71.7189,68.72,60,50,4.61,scattered clouds
184,Chahal,GT,15.75,-89.5667,73.11,93,50,4.14,scattered clouds
185,Muzhi,RU,65.3667,64.6667,34.74,93,71,3.89,broken clouds
186,Amposta,ES,40.7131,0.581,60.22,72,79,5.32,broken clouds
187,Tabas,IR,33.5959,56.9244,77.85,14,0,2.06,clear sky
188,Kiruna,SE,67.8557,20.2251,34.72,100,100,3.44,light rain
189,Viesite,LV,56.3475,25.5551,45.32,71,100,7.52,overcast clouds
190,Kaitangata,NZ,-46.2817,169.8464,56.8,62,17,6.8,few clouds
191,Santiago Del Estero,AR,-27.7951,-64.2615,66.79,61,27,4.5,scattered clouds
192,Waycross,US,31.2136,-82.354,60.85,77,0,0.0,clear sky
193,Narsaq,GL,60.9167,-46.05,43.02,91,99,4.59,overcast clouds
194,Nizhniy Ingash,RU,56.2,96.53,50.38,28,4,2.82,clear sky
195,Chapais,CA,49.7834,-74.8492,58.78,41,2,13.0,clear sky
196,Buala,SB,-8.145,159.5921,84.42,74,99,7.96,overcast clouds
197,Inhambane,MZ,-23.865,35.3833,65.5,91,0,5.48,clear sky
198,Guilin,CN,25.2819,110.2864,75.31,71,68,7.67,broken clouds
199,Airai,TL,-8.9266,125.4092,75.42,49,79,1.86,broken clouds
200,Talara,PE,-4.5772,-81.2719,66.09,84,22,13.27,few clouds
201,Esperance,AU,-33.8667,121.9,71.22,32,90,13.94,overcast clouds
202,Cherskiy,RU,68.75,161.3,27.79,80,100,5.3,overcast clouds
203,Tecoanapa,MX,16.5167,-98.75,81.07,73,53,3.47,broken clouds
204,San Quintin,MX,30.4833,-115.95,59.43,71,95,23.04,overcast clouds
205,Keflavik,IS,64.0049,-22.5624,37.31,87,75,14.97,broken clouds
206,Xixiang,CN,35.1628,112.865,68.43,59,100,11.3,overcast clouds
207,Namatanai,PG,-3.6667,152.4333,85.82,66,62,10.58,broken clouds
208,Benghazi,LY,32.1167,20.0667,62.46,70,25,8.28,scattered clouds
209,Yima,CN,34.7381,111.8839,65.44,56,100,12.03,overcast clouds
210,Rio Claro,BR,-22.4114,-47.5614,61.39,83,69,1.54,broken clouds
211,Vostok,RU,46.4856,135.8833,70.12,20,100,5.91,overcast clouds
212,Kroya,ID,-7.6331,109.2461,86.41,72,17,2.82,few clouds
213,Xining,CN,36.6167,101.7667,58.77,48,13,3.24,few clouds
214,Bitung,ID,1.4451,125.1824,88.65,78,90,10.63,overcast clouds
215,Manaus,BR,-3.1019,-60.025,79.3,83,0,4.61,clear sky
216,Amiens,FR,49.9,2.3,53.04,90,23,5.19,few clouds
217,Miguel Hidalgo,MX,19.4225,-99.2028,71.58,35,40,11.5,scattered clouds
218,General Pico,AR,-35.6566,-63.7568,54.61,85,20,7.09,few clouds
219,Kukuna,SL,9.4,-12.6667,77.81,85,28,4.12,scattered clouds
220,Sabang,ID,5.8933,95.3214,84.65,73,100,12.71,overcast clouds
221,Athabasca,CA,54.7169,-113.2854,37.81,65,54,3.69,broken clouds
222,Zyryanka,RU,65.75,150.85,29.05,93,100,10.36,light snow
223,Riyadh,SA,24.6877,46.7219,77.14,16,0,8.19,clear sky
224,Naze,JP,28.3667,129.4833,71.38,73,100,2.33,overcast clouds
225,Valparaiso,CL,-33.0393,-71.6273,57.47,88,100,6.91,fog
226,Priargunsk,RU,50.3691,119.1012,41.72,32,100,14.7,light rain
227,Fairview,US,40.8126,-73.999,60.48,43,0,10.36,clear sky
228,Forbes,AU,-33.3833,148.0167,61.2,79,100,10.74,moderate rain
229,Altamira,BR,-3.2033,-52.2064,71.76,99,95,2.73,overcast clouds
230,Whitianga,NZ,-36.8333,175.7,60.03,54,33,10.87,scattered clouds
231,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,81,0,4.61,clear sky
232,Lethem,GY,3.3803,-59.7968,76.51,84,35,6.73,scattered clouds
233,Longyearbyen,SJ,78.2186,15.6401,15.64,79,20,6.91,few clouds
234,Talnakh,RU,69.4865,88.3972,24.21,78,63,8.3,broken clouds
235,Nuuk,GL,64.1835,-51.7216,30.81,100,100,9.22,overcast clouds
236,Namtsy,RU,62.7161,129.6658,36.54,47,1,7.96,clear sky
237,Westport,US,41.1415,-73.3579,57.74,29,0,11.5,clear sky
238,Koumac,NC,-20.5667,164.2833,80.82,62,78,9.64,broken clouds
239,Jalu,LY,29.0331,21.5482,66.47,42,50,8.68,scattered clouds
240,Poso,ID,-1.3959,120.7524,87.84,59,98,1.74,overcast clouds
241,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.05,84,44,5.61,scattered clouds
242,Dunedin,NZ,-45.8742,170.5036,57.51,51,14,0.54,few clouds
243,Bereda,ES,43.2686,-7.5406,52.41,92,45,1.72,scattered clouds
244,Halifax,CA,44.6453,-63.5724,41.68,73,1,6.91,clear sky
245,Faanui,PF,-16.4833,-151.75,82.98,72,11,18.3,few clouds
246,Chokurdakh,RU,70.6333,147.9167,16.59,89,95,7.85,overcast clouds
247,Makasar,ID,-5.14,119.4221,87.85,74,20,3.44,few clouds
248,Kapuskasing,CA,49.4169,-82.4331,62.69,94,75,10.36,broken clouds
249,Muros,ES,42.7762,-9.0603,55.17,90,44,2.95,scattered clouds
250,Bengkulu,ID,-3.8004,102.2655,82.0,71,100,3.27,overcast clouds
251,Palana,RU,59.1167,159.9667,37.63,79,19,9.35,few clouds
252,Inuvik,CA,68.3499,-133.7218,32.86,80,100,9.22,overcast clouds
253,Kholm,RU,59.2667,32.85,42.15,74,3,4.16,clear sky
254,Unity,CA,52.4501,-109.1682,43.25,63,88,9.62,overcast clouds
255,Marystown,CA,47.1666,-55.1483,37.85,100,47,5.37,scattered clouds
256,Teutonia,BR,-29.4481,-51.8064,62.76,97,99,1.41,overcast clouds
257,Ridgecrest,US,35.6225,-117.6709,55.26,23,20,21.85,few clouds
258,Aripuana,BR,-9.1667,-60.6333,74.35,89,99,0.49,overcast clouds
259,Kanniyakumari,IN,8.0833,77.5667,84.56,73,90,25.3,overcast clouds
260,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,41,40,13.42,scattered clouds
261,Huntsville,US,34.7304,-86.5861,71.2,80,0,1.99,clear sky
262,Golden,US,39.7555,-105.2211,61.07,40,40,3.44,scattered clouds
263,Akyab,MM,20.15,92.9,77.88,89,100,5.61,overcast clouds
264,Atar,MR,20.5169,-13.0499,85.5,22,4,9.22,clear sky
265,Freiberg,DE,50.9167,13.3667,62.35,74,100,9.8,overcast clouds
266,Egvekinot,RU,66.3167,-179.1667,31.28,100,100,4.34,overcast clouds
267,Aswan,EG,24.0934,32.907,78.42,19,44,12.91,scattered clouds
268,Quelimane,MZ,-17.8786,36.8883,67.95,94,20,3.44,few clouds
269,Matay,EG,28.419,30.7792,68.4,46,37,10.13,scattered clouds
270,Vagur,FO,61.4732,-6.8119,45.34,87,100,6.26,overcast clouds
271,Chernyshevskiy,RU,63.0128,112.4714,42.91,74,43,9.75,scattered clouds
272,Tuatapere,NZ,-46.1333,167.6833,57.2,59,62,1.61,broken clouds
273,Kudahuvadhoo,MV,2.6708,72.8944,84.36,76,100,16.44,overcast clouds
