City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Palauig,PH,86.2,scattered clouds,15.435,119.9045,Alperi Botique Resort
626,Coruripe,BR,74.82,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
627,Bafata,GW,77.97,broken clouds,12.1667,-14.75,
628,Hua Hin,TH,86.02,few clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
629,Jinxiang,CN,68.23,overcast clouds,27.4327,120.6062,Wolong Village
630,Fremont,US,54.09,clear sky,37.5483,-121.9886,Best Western Plus Garden Court Inn
631,Acajutla,SV,82.18,scattered clouds,13.5928,-89.8275,Laureles
632,Belaya,UA,49.82,overcast clouds,49.029,25.7706,Hotel Anastasia
633,Kyshtovka,RU,58.75,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
635,Piedras Negras,MX,87.28,light rain,28.7,-100.5167,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
636,Osypenko,UA,48.65,scattered clouds,46.9136,36.8253,
637,Barraute,CA,70.07,clear sky,48.4335,-77.6328,Auberge La Fille d'à côté
638,Sassandra,CI,78.21,overcast clouds,4.95,-6.0833,la terrasse
639,Ponta Delgada,PT,64.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
640,Torbat-E Jam,IR,65.01,clear sky,35.244,60.6225,White building
641,Sibolga,ID,86.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
642,Shizuishan,CN,62.73,broken clouds,39.2333,106.7694,Xingji Hotel
643,Kupang,ID,85.98,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
644,Nova Vicosa,BR,72.27,broken clouds,-17.8919,-39.3719,Pousada Porto do Sol
645,Amapa,BR,70.52,overcast clouds,1.0,-52.0,
646,Lichtenburg,ZA,50.79,broken clouds,-26.152,26.1597,Kennzy Guest House
647,Kenora,CA,54.57,few clouds,49.8167,-94.4337,Maynard Lake Lodge
648,Todos Santos,MX,65.66,clear sky,23.45,-110.2167,Hotel California Todos Santos
649,Magburaka,SL,75.58,broken clouds,8.7167,-11.95,PROF LAKOH
650,Sandy Bay,AU,61.3,clear sky,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
651,Port Shepstone,ZA,63.88,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
652,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
653,Beruwala,LK,84.31,overcast clouds,6.4788,79.9828,The Palms Hotel
655,Manoel Urbano,BR,72.34,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
658,Cheremukhovo,RU,50.79,overcast clouds,60.3484,59.9851,
659,Lyuban,BY,45.37,scattered clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
660,Broome,US,54.37,clear sky,42.2506,-75.833,Chenango Valley State Park
661,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
662,Ingham,US,73.02,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
664,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
665,Progress,US,56.98,clear sky,40.2851,-76.8314,Hilton Garden Inn Harrisburg East
666,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
667,Capitao Poco,BR,71.65,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
668,Shahrud,IR,60.8,few clouds,36.4182,54.9763,Royal Hotel
669,Ivdel,RU,54.14,overcast clouds,60.6911,60.4206,Ivdel'
670,Mirabad,AF,78.12,clear sky,30.4362,61.8383,
671,Prosec,CZ,58.05,overcast clouds,49.8059,16.1162,Dum Bratri Capku
672,Kloulklubed,PW,79.3,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
674,Siocon,PH,80.62,overcast clouds,7.7061,122.1353,ABS Hotel
676,Machilipatnam,IN,82.83,heavy intensity rain,16.1667,81.1333,R&B Bungalow
677,Marrakesh,MA,71.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
678,Vienna,AT,58.6,clear sky,48.2085,16.3721,Hotel Royal
679,Agadir,MA,59.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
680,Quang Ngai,VN,89.26,overcast clouds,15.1167,108.8,Central Hotel
681,Paraiso,CR,66.42,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
682,Baft,IR,68.16,clear sky,29.234,56.6057,Paeez Hotel & restaurant
684,Alad,PH,83.46,overcast clouds,12.6168,122.2475,Sunset Cove Beach & Dive Resort
685,Marang,MY,84.11,broken clouds,5.2056,103.2059,DBarakah Homestay
686,Severnoye,RU,56.26,overcast clouds,56.3491,78.3619,Gostinitsa Severyanka
690,Port-Gentil,GA,80.15,moderate rain,-0.7193,8.7815,Fengshui Residence
691,Tongliao,CN,62.02,scattered clouds,43.6125,122.2653,Meirujia Hotel
